sample,fastq_1,fastq_2
ERR13259960,reads/ERR13259960_1.fastq.gz,reads/ERR13259960_2.fastq.gz
ERR13260062,reads/ERR13260062_1.fastq.gz,reads/ERR13260062_2.fastq.gz
